Cell Type	Z-score	Cluster
Effector memory T cell	2.555438939875074	0
Astrocyte	1.663456107529491	0
Regulatory T(Treg) cell	1.4295154748261245	0
Activated effector cell	-0.46652094220176976	0
CD4+ T cell	-0.46652094220176976	0
Natural killer T (NKT) cell	-0.46652094220176976	0
Activated T cell	-0.46652094220176976	0
T follicular helper(Tfh) cell	-0.46652094220176976	0
T helper 2(Th2) cell	-0.46652094220176976	0
T cell	-0.46652094220176976	0
Regulatory CD4+ T cell	-0.46652094220176976	0
FGFR1HighNME5- epithelial cell	-0.4790607461541319	0
Capsular fibroblast(Fb2)	-0.4790607461541319	0
Regulatory T (Treg) cell	-0.4790607461541319	0
Fibroblast	-0.4790607461541319	0
Oligodendrocyte progenitor cell	3.0262233733272947	1
Lymphoid-primed multipotent progenitor cell(LMPP)	0.6330404064970996	1
SLC16A7+ cell	0.5618854774235831	1
Natural killer T (NKT) cell	-0.07000185595110793	1
Mitotic fetal germ cell	-0.26272994511859	1
Sertoli cell	-0.26272994511859	1
Multilymphoid progenitor cell	-0.26272994511859	1
Ciliated epithelial cell	-0.462817640800661	1
Enterocyte	-0.462817640800661	1
Mesenchymal cell	-0.6093305710849404	1
Astrocyte	-0.6093305710849404	1
Neurogenic retinal progenitor cell	-0.6093305710849404	1
Plasmacytoid dendritic cell	-0.6093305710849404	1
T cell	4.273031457070455	10
T helper 1(Th1) cell	2.0257484905760723	10
Natural killer cell	1.761144073471756	10
Effector memory CD8+ T cell	1.751383033172233	10
CD8+ T cell	1.2278728678684723	10
T follicular helper(Tfh) cell	1.2198095101550175	10
Memory T cell	0.6631350831547101	10
Effector memory T cell	0.5899913724559991	10
Memory CD8+ T cell	0.5899913724559991	10
Plasmacytoid dendritic cell	0.584800821693823	10
Natural killer T (NKT) cell	-0.3169156380098844	10
Effector T(Teff) cell	-0.4062090026790474	10
T helper cell	-0.4062090026790474	10
SLC16A7+ cell	-0.47843422257513885	10
GZMK CD8 cell	-0.48419047257525283	10
Effector CD8+ T cell	-0.48419047257525283	10
Cytotoxic T cell	-0.48419047257525283	10
Mucosa-associated invariant T (MAIT) cell	-0.48419047257525283	10
Transitional CD8+ T cell	-0.48419047257525283	10
Effector CD4+ T cell	-0.48419047257525283	10
Effector memory CD8 T cell	-0.48419047257525283	10
Memory CD4+ T cell	-0.48419047257525283	10
Effector CD8 T cell	-0.48419047257525283	10
Early effector T cell	-0.48419047257525283	10
Activated CD4+ T cell	-0.48454326413993465	10
Cytotoxic T helper 1 cell	-0.48454326413993465	10
Circulating T follicular helper cell	-0.48454326413993465	10
CD8+ T helper 1 cell	-0.48454326413993465	10
CD4+ T helper 1 cell	-0.48454326413993465	10
Activated T cell	-0.48454326413993465	10
B cell	-0.48454326413993465	10
Innate lymphoid cell	-0.48454326413993465	10
Memory B cell	-0.48454326413993465	10
Monocyte	-0.48454326413993465	10
Memory Stem Cell(Tscm)	-0.48454326413993465	10
T helper 2(Th2) cell	-0.48454326413993465	10
T helper 17(Th17) cell	-0.48454326413993465	10
T helper(Th) cell	-0.48454326413993465	10
T helper1 (Th1) cell	-0.48454326413993465	10
T peripheral helper(Tph) cell	-0.48454326413993465	10
Tissue resident cell	-0.48454326413993465	10
Natural killer T (NKT) cell	4.395109166378635	11
SLC16A7+ cell	0.5304298724373603	11
Oocyte	0.4146359277847626	11
Oogenesis phase fetal germ cell	0.402033666522476	11
Fibroblast	-0.016101719575978186	11
Fibrocartilage chondrocyte	-0.016101719575978186	11
Leydig precursor cell	-0.016101719575978186	11
Liver bud hepatic cell	-0.1756099339137148	11
Stem cell	-0.318987717248234	11
Meiotic prophase fetal germ cell	-0.3232250570167428	11
Naive CD8+ T cell	-0.36215882652778664	11
Granulocyte-monocyte progenitor	-0.36215882652778664	11
Neural progenitor cell	-0.364343704845924	11
FOXN4+ cell	-0.364343704845924	11
Endothelial cell	-0.364343704845924	11
Granulosa cell	-0.36833896275814804	11
Cardiomyocyte	-0.38434186226644407	11
B cell	-0.38434186226644407	11
Multilymphoid progenitor cell	-0.38434186226644407	11
Myotube	-0.38434186226644407	11
Myoblast	-0.38434186226644407	11
Muscle cell	-0.38434186226644407	11
Regulatory T (Treg) cell	-0.38434186226644407	11
T cell	4.818018591632326	12
Natural killer cell	2.767923982367254	12
Regulatory T(Treg) cell	1.6555886386147483	12
T follicular helper(Tfh) cell	1.4200540469470926	12
T helper 1(Th1) cell	1.3538486273337602	12
CD8+ T cell	1.3081383844142362	12
Effector memory CD8+ T cell	1.1737795275725902	12
Memory CD8+ T cell	0.6173947489857129	12
Effector memory T cell	0.6173947489857129	12
Gamma delta(γδ) T cell	0.4364548776344784	12
Memory T cell	0.37342126218285193	12
Plasmacytoid dendritic cell	0.2940953084642739	12
Exhausted CD4+ T cell	0.109225991628821	12
Exhausted T(Tex) cell	0.109225991628821	12
Regulatory CD4+ T cell	0.109225991628821	12
Natural killer T (NKT) cell	-0.3012195024553238	12
Effector T(Teff) cell	-0.4130340466729108	12
T helper cell	-0.4130340466729108	12
T helper 2(Th2) cell	-0.4475732813793201	12
Transitional CD8+ T cell	-0.4703859709082509	12
Mucosa-associated invariant T (MAIT) cell	-0.4703859709082509	12
Cytotoxic T cell	-0.4703859709082509	12
Effector CD4+ T cell	-0.4703859709082509	12
Effector CD8 T cell	-0.4703859709082509	12
Effector memory CD8 T cell	-0.4703859709082509	12
GZMK CD8 cell	-0.4703859709082509	12
Memory CD4+ T cell	-0.4703859709082509	12
Effector CD8+ T cell	-0.4703859709082509	12
Early effector T cell	-0.4703859709082509	12
Granulocyte-monocyte progenitor	-0.4826840994214107	12
CD8+ T helper 1 cell	-0.49236000039148886	12
CD4+ T helper 1 cell	-0.49236000039148886	12
Activated CD4+ T cell	-0.49236000039148886	12
Activated T cell	-0.49236000039148886	12
B cell	-0.49236000039148886	12
T peripheral helper(Tph) cell	-0.49236000039148886	12
Circulating T follicular helper cell	-0.49236000039148886	12
Cytotoxic T helper 1 cell	-0.49236000039148886	12
T helper1 (Th1) cell	-0.49236000039148886	12
Memory B cell	-0.49236000039148886	12
Innate lymphoid cell	-0.49236000039148886	12
Memory Stem Cell(Tscm)	-0.49236000039148886	12
Monocyte	-0.49236000039148886	12
T helper(Th) cell	-0.49236000039148886	12
Tissue resident cell	-0.49236000039148886	12
T helper 17(Th17) cell	-0.49236000039148886	12
CD4+ T cell	-0.50492520561466	12
Naive CD8+ T cell	-0.50492520561466	12
Exhausted CD8+ T cell	-0.50492520561466	12
Senescent CD8+ T Cell	-0.50492520561466	12
Regulatory T (Treg) cell	-0.50492520561466	12
Monocyte	10.043918347958211	13
Megakaryocyte	8.598425982281183	13
Macrophage	6.128400238387325	13
Microglial cell	4.4291237382041615	13
Endothelial cell	3.2868697068007613	13
Myeloid cell	3.226337303990115	13
Platelet	2.23993487503132	13
Dendritic cell	2.146576046792338	13
Neutrophil	2.1290712427315794	13
Astrocyte	1.7226472414455485	13
Trophectoderm cell	1.678290878541294	13
Smooth muscle cell	0.833073684487143	13
Mast cell	0.7612542480165878	13
B cell	0.7454953797591296	13
Classical monocyte	0.647770840912563	13
Megakaryocyte progenitor cell	0.6019805203351859	13
CD14+ monocyte	0.5534630441618253	13
Paneth cell	0.34503930844665837	13
M1 macrophage	0.28201484933372245	13
Mesenchymal stromal cell	0.2551778189663898	13
Stem cell	0.25488916092169717	13
Fibrocartilage chondrocyte	0.22749967994441814	13
Intermediate monocyte	0.2190722252732521	13
Natural killer cell	0.21380743704298105	13
Myofibroblast	0.2137156889472127	13
Kupffer cell	0.20218587044175998	13
CD16+ monocyte	0.1952035427208245	13
Pericyte	0.1836585827353504	13
Mesenchymal stem cell	0.1628972581736085	13
Excitatory neuron	0.11851057158189328	13
CD1C-CD141- dendritic cell	0.11369264782855257	13
Adipose-derived stem cell	0.11120570481847226	13
Fibroblast	0.09414198525415324	13
M2 macrophage	0.06619338077542941	13
Natural killer T (NKT) cell	0.05993708301343419	13
Non-classical monocyte	0.04448286533538558	13
Eosinophil	0.043637892524163155	13
Oligodendrocyte progenitor cell	0.032228251785779344	13
Leukocyte	0.025647431565874446	13
Monocyte-derived macrophage	0.022119847514388665	13
Granulocyte	0.01963907451997484	13
Immune cell	0.018801383822365722	13
Monocyte Myeloid-derived suppressor cell (M-MDSC)	0.0005677489381166474	13
Mitotic fetal germ cell	-0.0043215868224214075	13
Natural killer T(NKT) cell	-0.005256117869604241	13
Monocyte-derived dendritic cell	-0.01227639682046664	13
Neuron	-0.026590561150180634	13
Mononuclear phagocyte	-0.030351371471156137	13
Progenitor cell	-0.04916850901466044	13
Gonadal endothelial cell	-0.058104165004291865	13
Antigen-presenting cell	-0.07023820353880718	13
Oogenesis phase fetal germ cell	-0.08314691325522743	13
Myeloid derived suppressor cell (MDSC)	-0.08332128695316227	13
CD14 monocyte	-0.087572430894992	13
CD1C+_B dendritic cell	-0.08838796763371673	13
Oligodendrocyte	-0.09034735561062852	13
Mature dendritic cell	-0.09141772608638285	13
Mitotic arrest phase fetal germ cell	-0.0923686508563906	13
Effector memory T cell	-0.09865239450729951	13
Multilymphoid progenitor cell	-0.09930987716444029	13
Conventional dendritic cell 2(cDC2)	-0.09945871013143204	13
Sertoli cell	-0.09956121342984146	13
CD14+CD16+ monocyte	-0.10480274687003613	13
Histiocyte	-0.10484440668535558	13
Hepatocyte	-0.10748427130071696	13
Alveolar macrophage	-0.1141032217832592	13
Activated microglial cell	-0.1141032217832592	13
Pan-macrophage	-0.1141032217832592	13
Delta cell	-0.11918864048838605	13
Oligodendrocyte precursor cell	-0.11946157353407166	13
Dendritic cell lineage	-0.13565532035953123	13
Myoblast	-0.1376943617069921	13
Granulosa cell	-0.14684529030737545	13
Podocyte	-0.1550811525551557	13
Follicular B cell	-0.15851910976212807	13
Leydig cell	-0.15975574001649398	13
MKI67+ progenitor cell	-0.16062415301149355	13
Lymphoid-primed multipotent progenitor cell(LMPP)	-0.16136204075057164	13
Plasmacytoid dendritic cell	-0.16592579007152464	13
Patelet	-0.16875629879450346	13
Secretory cell	-0.16916311583091603	13
Hematopoietic cell	-0.1756810789503783	13
Epithelial cell	-0.17782621741401666	13
Circulating fetal cell	-0.18096724107969434	13
Gonadal mitotic phase fetal germ cell	-0.1821493590125639	13
