Cell Type	Z-score	Cluster
Endothelial cell	10.098255393157539	0
Megakaryocyte	9.0849741188398	0
Microglial cell	4.754358612137275	0
Trophectoderm cell	3.6207122322033243	0
Monocyte	2.8462100252994054	0
Macrophage	2.521523333877236	0
Platelet	2.482906309479429	0
Mast cell	2.4670506913802828	0
Astrocyte	2.4418236845533055	0
Myeloid cell	2.2528075559639023	0
Natural killer T (NKT) cell	2.1483902936991552	0
Fibroblast	1.282357321727722	0
Plasmacytoid dendritic cell(pDC)	1.1244567212789849	0
Inhibitory neuron	1.0543088312940965	0
Mitotic arrest phase fetal germ cell	1.0431384078935753	0
Megakaryocyte progenitor cell	1.033444252521964	0
Mesenchymal cell	0.9187155759976807	0
Oligodendrocyte	0.9089625236976169	0
Oligodendrocyte precursor cell	0.7330548571931035	0
Mitotic fetal germ cell	0.7163308282335076	0
Oligodendrocyte progenitor cell	0.6781068612189185	0
Gonadal endothelial cell	0.5845245898622716	0
B cell	0.573968944601537	0
Smooth muscle cell	0.5622365580990543	0
Myofibroblast	0.4863086286390541	0
Excitatory neuron	0.4286882891385038	0
Stem cell	0.42210815560672443	0
T cell	0.41786078875798033	0
Basophil	0.36309856217366465	0
Natural killer cell	0.3496834584373554	0
Activated CD8+ T cell	0.32927272565768034	0
Oogenesis phase fetal germ cell	0.3041710739737876	0
Mesenchymal stem cell	0.27188463184898326	0
CD1C-CD141- dendritic cell	0.26236135242026576	0
Vascular endothelial cell	0.2446332239877888	0
Hematopoietic stem cell	0.17901898034908217	0
Sertoli cell	0.17181181261324818	0
Red blood cell (erythrocyte)	0.16922432133279294	0
Interstitial cell	0.16329183348729354	0
Fibrocartilage chondrocyte	0.157435087027748	0
Dendritic cell	0.1430620447840198	0
Ciliated cell	0.11956903763770356	0
Mesenchymal stromal cell	0.1181932338971756	0
Eosinophil	0.11800797145253983	0
Pericyte	0.10472784367160375	0
Leydig cell	0.10273890815841404	0
Stromal cell	0.09820769887859812	0
Multilymphoid progenitor cell	0.09681710162615229	0
Adipose-derived stem cell	0.08954188516549243	0
MKI67+ progenitor cell	0.07950912723610727	0
Ciliated epithelial cell	0.07243415181813434	0
Kupffer cell	0.07215480997436319	0
Gonadal mitotic phase fetal germ cell	0.04769453966543561	0
M1 macrophage	0.04699940758857163	0
Paneth cell	0.027079953836845843	0
Meiotic prophase fetal germ cell	0.013662291614390584	0
Migration phase fetal germ cell	0.009065820259958089	0
Ionocyte cell	0.005875824527272188	0
Granulosa cell	-0.01362044909906634	0
Progenitor cell	-0.024988468476519938	0
Retinoid acid signaling-responsive fetal germ cell	-0.0471241911354052	0
SLC16A7+ cell	-0.051690329429005255	0
Neuron	-0.0596765384378007	0
Liver bud hepatic cell	-0.082491858609118	0
Effector memory T cell	-0.08919953617918934	0
Plasmacytoid dendritic cell	-0.09353505449195967	0
Acinar cell	-0.09567794509920773	0
M2 macrophage	-0.10085431549926169	0
Basal cell	-0.11682787799251754	0
Megakaryocyte-erythroid-mast cell progenitor cell	-0.12430729024447329	0
Circulating fetal cell	-0.13144736882550342	0
CD141+CLEC9A+ dendritic cell	-0.14063921856972808	0
Leydig precursor cell	-0.1451606134587599	0
Activated microglial cell	-0.14691471283055144	0
Pan-macrophage	-0.14691471283055144	0
Alveolar macrophage	-0.14691471283055144	0
Histiocyte	-0.14691471283055144	0
Monocyte-derived macrophage	-0.14691471283055144	0
Activated endothelial cell	-0.155502559093122	0
Vasculature cell	-0.155502559093122	0
Neutrophil	-0.15694517482890677	0
Oocyte	-0.1582568272087398	0
Brush cell (Tuft cell)	-0.16025431849684937	0
Primitive endoderm cell	-0.16064518275864773	0
Hematopoietic cell	-0.16380762656462217	0
AXL+SIGLEC6+ dendritic cell	-0.16498469977216057	0
Effector CD8+ memory T (Tem) cell	-0.16565199912794498	0
Follicular B cell	-0.17027815431741983	0
Alpha cell (α cell)	-0.1744215540008347	0
Epithelial cell	-0.1749223457901646	0
