Cell Type	Z-score	Cluster
T cell	5.548822872179908	0
Naive CD8+ T cell	3.3073313782950997	0
CD4+ T cell	3.26282878988439	0
Naive CD4+ T cell	3.1399669205257865	0
CD8+ T cell	2.8407172205114857	0
Naive T(Th0) cell	2.5915086927453053	0
Regulatory T(Treg) cell	2.1135385089567786	0
Central memory CD4+ T cell	1.9731711905137619	0
Central memory CD8+ T cell	1.9252543183368558	0
Central memory T cell	1.7503105047437737	0
Natural killer cell	1.6340154610363442	0
Naive CD4 T cell	1.569081657053822	0
T follicular helper(Tfh) cell	1.0635943354679072	0
Natural killer T (NKT) cell	0.6424269090193633	0
Natural killer T(NKT) cell	0.6358584303029922	0
B cell	0.621582854497819	0
Immune cell	0.4057323458260171	0
Macrophage	0.3525813946610501	0
Dendritic cell	0.3525813946610501	0
Oligodendrocyte	0.18980169400208086	0
Memory CD4+ T cell	0.15901504518612808	0
Basal epithelial cell	0.15306982758907453	0
Basal cell	0.15306982758907453	0
Memory T cell	0.08869496388536113	0
Naive CD8 T cell	0.08547362692771775	0
Lymphocyte	0.08331530149793465	0
CD8 T cell	0.08331530149793465	0
Regulatory CD4+ T cell	0.08331530149793465	0
Cytotoxic T cell	0.08331530149793465	0
Gamma delta(γδ) T cell	0.08331530149793465	0
Follicular helper (Tfh) T cell	0.07519367662300876	0
Activated T cell	0.07519367662300876	0
Activated dendritic cell	0.04910093077500891	0
Stem memory T cell	0.04910093077500891	0
Naive T cell	0.04910093077500891	0
Mitotic fetal germ cell	-0.3103222891599387	0
Astrocyte	-0.37053739922567436	0
Endothelial cell	-0.37656776850088447	0
T helper cell	-0.38331907524314557	0
Activated CD4+ T cell	-0.38331907524314557	0
Leydig cell	-0.4105710930624622	0
Mitotic arrest phase fetal germ cell	-0.4165716064243712	0
Plasmacytoid dendritic cell	-0.4179051051821347	0
Sertoli cell	-0.4184542714025807	0
Exhausted CD4+ T cell	-0.4205876246168003	0
Effector CD4+ T cell	-0.42119845248378096	0
Gonadal mitotic phase fetal germ cell	-0.42154533333921057	0
Epiblast cell	-0.42643183004393864	0
Oogenesis phase fetal germ cell	-0.4468322662774155	0
Ciliated epithelial cell	-0.4468322662774155	0
Microglial cell	-0.4468322662774155	0
Meiotic prophase fetal germ cell	-0.4468322662774155	0
Goblet cell	-0.44753604082080667	0
Club cell (Clara cell)	-0.44753604082080667	0
Secretory cell	-0.44753604082080667	0
SLC16A7+ cell	-0.44977697675862927	0
Granulosa cell	-0.45130680773176557	0
Leydig precursor cell	-0.45130680773176557	0
Spermatogonial cell	-0.4548885683403927	0
Epithelial cell	-0.4548885683403927	0
Epidermal cell	-0.4548885683403927	0
Spermatogonial stem cell	-0.4548885683403927	0
Embryonic stem cell	-0.4548885683403927	0
Trophoblast cell	-0.4548885683403927	0
Lake et al.Science.Ex5	-0.4552718037575227	0
Migration phase fetal germ cell	-0.4552718037575227	0
Alpha cell (α cell)	-0.45651967949778954	0
Ionocyte cell	-0.4592756068352534	0
Regulatory T (Treg) cell	-0.4592756068352534	0
Effector CD8+ T cell	-0.45962964679831964	0
Stromal cell	-0.45962964679831964	0
NK and T cell	-0.45962964679831964	0
Exhausted CD8+ T cell	-0.45962964679831964	0
Proliferative CD4+ T cell	-0.45962964679831964	0
Activated CD8+ T cell	-0.45962964679831964	0
Memory CD8+ T cell	-0.45962964679831964	0
Cardiomyocyte	-0.45962964679831964	0
Regulatory CD8+ T cell	-0.45962964679831964	0
Naive cytotoxic T cell	-0.45962964679831964	0
CD4 T cell	-0.45962964679831964	0
CD4+ T helper cell	-0.45962964679831964	0
Proliferative T cell	-0.45962964679831964	0
Proliferative CD8+ T cell	-0.45962964679831964	0
Dividing T cell	-0.45962964679831964	0
Early effector T cell	-0.45962964679831964	0
TolDC-induced regulatory T cell	-0.4601816577271525	0
Effector regulatory T(eTreg) cell	-0.4601816577271525	0
Pathogenic T peripheral helper cell	-0.4601816577271525	0
Morula cell (Blastomere)	-0.46079248559413316	0
Conventional dendritic cell(cDC)	-0.4619551305350171	0
Cancer cell	-0.4619551305350171	0
Central memory T helper 1 cell	-0.4619551305350171	0
Migratory langerhans cell	-0.4619551305350171	0
Circulating memory T cell	-0.4619551305350171	0
Thymus seeding progenitor (TSP)	-0.4619551305350171	0
Stem cell	-0.4619551305350171	0
M1 macrophage	-0.4619551305350171	0
AIRE-enriched cell	-0.4619551305350171	0
Effector CD4+ memory T (Tem) cell	-0.4619551305350171	0
Plasmacytoid dendritic cell(pDC)	-0.4619551305350171	0
CCR7+ dendritic cell	-0.4619551305350171	0
Naive B cell	-0.4619551305350171	0
CD4+ central memory like T (Tcm-like) cell	-0.4619551305350171	0
Recent thymic T-cell emigrant	-0.4619551305350171	0
Memory CD4 T cell	-0.4619551305350171	0
Migratory dendritic cell	-0.4619551305350171	0
Effector T(Teff) cell	-0.4619551305350171	0
Monocyte	-0.4619551305350171	0
Memory B cell	-0.4619551305350171	0
Memory Stem Cell(Tscm)	-0.4619551305350171	0
T memory stem cell	-0.4619551305350171	0
Tissue resident memory T(TRM) cell	-0.4619551305350171	0
Ciliated cell	-0.4627893829708598	0
Oligodendrocyte progenitor cell	-0.4627893829708598	0
Distal tubule & loop of Henle cell	-0.462850983755963	0
Theca interna cell	-0.4629158349923294	0
Mesenchymal cell	-0.4629158349923294	0
Multilymphoid progenitor cell	-0.46505097347520397	0
T cell	7.548031210245192	1
CD4+ T cell	4.973098316899541	1
CD8+ T cell	3.6062857464839935	1
Natural killer cell	2.4554759566099493	1
Effector memory T cell	2.354620440020321	1
Regulatory T(Treg) cell	1.6739206097689892	1
Memory CD4+ T cell	1.429682638989539	1
Natural killer T (NKT) cell	1.2016317569672286	1
Keratinocyte	1.1556343927821113	1
Natural killer T(NKT) cell	1.134068339119364	1
Lymphocyte	1.1335152520314955	1
Naive CD4+ T cell	0.6785564937822469	1
Naive CD8+ T cell	0.5834022892326676	1
Naive T(Th0) cell	0.479904308257825	1
T follicular helper(Tfh) cell	0.3846160354113019	1
Regulatory T (Treg) cell	0.25989088430013996	1
Immune cell	0.2400363679527397	1
B cell	0.1941403244020193	1
Innate lymphoid cell	0.08551713500559373	1
Regulatory CD4+ T cell	0.046177287101723204	1
CD8 T cell	0.04120540419213049	1
Gamma delta(γδ) T cell	0.03863344003350713	1
Effector CD4+ T cell	0.027730762285393593	1
Memory CD8+ T cell	0.026745357919084348	1
Effector CD8+ T cell	0.00510051825512908	1
Mast cell	-0.00026444899904385044	1
Cytotoxic T cell	-0.005699333125342674	1
Endothelial cell	-0.019305911838854523	1
Principal cell	-0.03596846941484759	1
Dendritic cell lineage	-0.03798845549225712	1
Multilymphoid progenitor cell	-0.2505450464041232	1
Activated T cell	-0.2511384633220014	1
T helper cell	-0.25391571785322736	1
Memory T cell	-0.25515855566200574	1
Mitotic fetal germ cell	-0.26177714160369153	1
Activated CD4+ T cell	-0.27799522718018566	1
CD4 T cell	-0.2838176960047042	1
Ciliated cell	-0.28390850795429806	1
Monocyte	-0.2873312389641884	1
Dividing T cell	-0.30082045517070055	1
Activated effector cell	-0.3025365431141481	1
Ciliated epithelial cell	-0.3051477356633382	1
SLC16A7+ cell	-0.30642655196763363	1
Central memory T cell	-0.3069806068804164	1
Dendritic cell 2A	-0.30742231006810733	1
Mitotic arrest phase fetal germ cell	-0.3076132132179571	1
Proliferative CD8+ T cell	-0.3078972053316625	1
Proliferative CD4+ T cell	-0.3078972053316625	1
Regulatory CD8+ T cell	-0.3078972053316625	1
Exhausted CD4+ T cell	-0.3078972053316625	1
Activated CD8+ T cell	-0.3078972053316625	1
Exhausted CD8+ T cell	-0.3078972053316625	1
T cell & Natural killer cell	-0.3100918337100293	1
Exhausted T(Tex) cell	-0.3100918337100293	1
Fibrocartilage chondrocyte	-0.31112952450346	1
Leydig cell	-0.3121462433831401	1
Intermediate keratinocyte	-0.31670060037566583	1
Differentiated keratinocyte	-0.31670060037566583	1
Epithelial cell	-0.31670060037566583	1
Epidermal cell	-0.31670060037566583	1
FGFR1HighNME5- epithelial cell	-0.3222214970332149	1
Fibroblast	-0.3222214970332149	1
Capsular fibroblast(Fb2)	-0.3222214970332149	1
Lymphoid cell	-0.32452262871740223	1
Effector memory CD4+ T cell	-0.32452262871740223	1
Naive-like T cell	-0.32452262871740223	1
Mucosa-associated invariant T (MAIT) cell	-0.32452262871740223	1
Innate Lymphoid cell	-0.32452262871740223	1
Mural cell	-0.32452262871740223	1
Helper innate lymphoid cell	-0.32452262871740223	1
Stem cell	-0.32452262871740223	1
Resident memory CD8+ T cell	-0.32452262871740223	1
Migratory langerhans cell	-0.32452262871740223	1
Central memory CD8+ T cell	-0.32452262871740223	1
Circulating fetal cell	-0.32452262871740223	1
Lymphoid progenitor cell	-0.32452262871740223	1
Memory Stem Cell(Tscm)	-0.32452262871740223	1
T helper 2(Th2) cell	-0.32537321463232804	1
Gonadal endothelial cell	-0.3295401646494884	1
Naive CD4 T cell	-0.3302475380586222	1
Plasmacytoid dendritic cell	-0.3302475380586222	1
Thymus seeding progenitor (TSP)	-0.3302475380586222	1
B progenitor cell	-0.3302475380586222	1
Early effector T cell	-0.3307224333221774	1
